Estudiante; c_enrrolado;c_aprobados;sem_cursados;c_bajo_media;c_repetidos;c_mas_repetido;veces_c_mas_repetidos;PGA;PSP_RE_1;PSP_RE_2;PSP_RE_3;PSP_RE_4;PSP_RE_5;PSP_RE_6;PSP_RE_7;PSP_RE_8;PSP_ABS_1;PSP_ABS_2;PSP_ABS_3;PSP_ABS_4;PSP_ABS_5;PSP_ABS_6;PSP_ABS_7;PSP_ABS_8;Dropout
E0001;70;40;12;45;25;A0007;4;0.00781656875;0.00580566832796;0.00288661732338;0.00486508524045;0.00484191819227;0.00650994739096;0.00129735609517;0.00397315292503;0.00602729994959;0.007265196;0.00767602166667;0.00497319833333;0.007054375;0.00778413666667;0.00726518;0.007784135;0.00681112142857;0
E00010;52;31;7;19;9;A0004;3;0.0077056683871;0.00666696866716;0.00402180384845;0.00548132937402;0.00532842673627;0.00726519394666;0.0061894695973;0.00278390994451;0;0.00739493;0.00751385833333;0.00470291666667;0.003054195;0.001783865;0.0;0.0;0.0;0
E000100;12;11;2;0;0;;0;0.0105410154545;0.0106707533821;0.00894249004445;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
E000101;22;9;4;14;6;A00079;2;0.00785621222222;0.00410057178565;0.00690842103213;0.00470291576348;0.00437857676297;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
E000102;11;9;2;0;1;A00069;1;0.00899140444444;0.0086274176836;0.00810847555598;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
E000103;30;17;6;12;9;A00079;2;0.00779367647059;0.00518942431414;0.0061218990013;0.00571647507604;0.00684355325066;0.00538402767852;0.00580566823483;0;0;0.0;0.0;0.00078382;0.0;0.0;0.0;0.0;0.0;0
E000104;25;8;4;15;9;A00059;2;0.007581425;0.00639411215005;0.00525892542542;0.00194603409618;0.00332447492595;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
E000105;6;2;2;5;0;;0;0.00786522;0.00689220405184;0.00518942426424;0;0;0;0;0;0;0.001783864;0.00078382;0.0;0.0;0.000837875;0.0;0.00113518666667;0.000602344285714;1
E000106;71;42;14;27;25;A0004;3;0.00774938690476;0.00683428639812;0.00651380846587;0.00640569557436;0.00498671235982;0.00496238679625;0.00574080068618;0.00648678038269;0.00613000746816;0.007232762;0.00645975333333;0.00505428333333;0.00748682666667;0.00491914166667;0.0;0.00378395666667;0.0;0
E000107;11;7;2;4;3;A00067;1;0.00850231428571;0.00677868537605;0.00700031709857;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
E000108;22;10;7;10;9;A00065;3;0.007930089;0.00802739080973;0.0063894786872;0.00540565031891;0.00214874604717;0.00378395523876;0.00475697227133;0.00113518652506;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1
E000109;35;13;8;19;19;A00064;4;0.00724773;0.00616244133562;0.0048110287947;0.00311365458183;0.0038920682855;0.0044110105373;0.00368935635197;0.00429749197792;0.00644623802509;0.00606514;0.001162215;0.00221631666667;0.0;0.0;0.0;0.0;0.0;1
E00011;16;6;3;7;6;A00079;2;0.00783819166667;0.00500408776237;0.00505968872458;0.00405423779739;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1
E000110;34;28;5;11;2;A00019;1;0.00893091285714;0.00752466516569;0.00843281447887;0.00648678024299;0.00647203772413;0.0100545094215;0;0;0;0.0;0.0;0.0;0.00743277166667;0.00443264;0.003859638;0.00840578833333;0.00736713285714;1
E000111;65;48;11;25;14;A0004;3;0.00835511125;0.00681111915037;0.00774359412026;0.00616244124249;0.00486508528702;0.00710302451625;0.00600027184313;0.00454074625547;0.0077841366486;0.007459798;0.00570296166667;0.00637866666667;0.00818956;0.00754088166667;0.002951486;0.00845984;0.00776097;1
E000112;21;12;6;5;6;A00079;2;0.00791928;0.00560643158055;0.00697328885629;0.0075679103223;0.00470291590318;0.00470291590318;0.00648678024299;0;0;0.0;0.0;0.00121627166667;0.0;0.0;0.0;0.0;0.0;1
E000113;12;6;2;5;2;A00070;1;0.00824362333333;0.0068111192435;0.00467974862217;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
E000114;86;64;14;26;17;A00063;3;0.00830865328125;0.00803897410099;0.00827064489325;0.00545970676467;0.00538402758539;0.00462183100171;0.00766250910237;0.00518942435738;0.00541646154597;0.007654402;0.00702734666667;0.00648678166667;0.00748682666667;0.008108475;0.004508312;0.00840577833333;0.00783047142857;0
E000115;61;34;12;21;24;A00063;5;0.00765058441176;0.00556009741766;0.00656786491163;0.00835172971711;0.00466237345245;0.00710302451625;0.00291905119084;0.0050921224989;0.00442491084271;0.00697329;0.00689220166667;0.00572998666667;0.00140546833333;0.001919005;0.0;0.00275688;0.0;0
E000116;6;5;2;2;0;;0;0.009113928;0.00739492960274;0.00859498418868;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.00143249666667;0.00141319142857;1
E000117;31;17;4;12;7;A00059;1;0.00765058764706;0.00613749209935;0.0064867803206;0.00467588752508;0.00597324354264;0;0;0;0;0.001232488;0.00110815833333;0.0;0.0;0.0;0.0;0.0;0.0;0
E000118;12;0;2;11;5;A00077;1;0;0.00141319145249;0.00129735609517;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1
E000119;30;15;6;13;11;A00058;2;0.00747060933333;0.00632461073941;0.00702734524384;0.00648678035941;0.00246497644112;0.00227037310833;0.00454074615845;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
E00012;15;3;3;11;8;A00079;2;0.00789225;0.00479558406265;0.00350286136381;0.00270282508185;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1
E000120;30;18;6;7;8;A00059;2;0.00756791388889;0.00604660596166;0.00678409112152;0.00606513954699;0.00677868556231;0.00522996659856;0.0055678198114;0;0;0.003437994;0.00113518666667;0.0;0.0;0.00140546833333;0.0;0.0;0.0;1
E000121;19;2;3;13;11;A00077;2;0.008108475;0.00384573405609;0.00354070096121;0.00135141257973;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1
E000122;61;49;11;13;8;A0003;2;0.00849569571429;0.00470291578677;0.00774359423667;0.00642191246152;0.00700572272763;0.00674625150859;0.00671381754801;0.0085544413887;0.00862201210111;0.00707059;0.00727060166667;0.00537862333333;0.00805442166667;0.00810847333333;0.00334069;0.00862200833333;0.00854864;1
E000123;64;49;13;21;12;A0004;2;0.00845929142857;0.00405423777799;0.00729762786068;0.00661651594564;0.0081490179291;0.00673003459815;0.00642191255465;0.0074922314845;0.00834014612649;0.007654402;0.00740574333333;0.00613541333333;0.00816253166667;0.00827064333333;0.003470426;0.00802739166667;0.00829380714286;0
E000124;15;6;3;4;6;A00079;2;0.00721654166667;0.00486508530698;0.00587053624913;0.00567593270292;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1
E000125;27;14;7;14;10;A00058;4;0.00769146928571;0.005870536156;0.00794630590826;0.00393261061981;0.00506779723219;0.00483265132643;0.00368935635197;0.00470291567035;0;0.001297356;0.0;0.00148655333333;0.0;0.0;0.0;0.0;0.0;1
E000126;36;25;6;10;5;A0003;2;0.0081409096;0.00732079494212;0.00886526657268;0.00781116456104;0.00497319820958;0.00402720939989;0.00347042740323;0;0;0.007070592;0.00167575333333;0.00154061166667;0.0;0.0;0.0;0.0;0.0;0
E000127;57;37;8;37;18;A00033;3;0.00820051675676;0.00710302451625;0.00492995306849;0.00635704472661;0.00602343891348;0.00410057176902;0.00287271700134;0.00871661101701;0.00824569570474;0.001297356;0.00256768333333;0.00435155166667;0.00475697166667;0.00548673333333;0.0020109;0.00724357;0.00741346142857;1
E000128;7;6;1;1;0;;0;0.00908149166667;0.00778413643794;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.00135141333333;0.00150585714286;1
E000129;60;55;9;5;2;A0005;1;0.00883086545455;0.00817334325984;0.00600027176552;0.00759879971987;0.00783047053431;0.00852548277804;0.00973017048091;0.00707464490552;0.00863552629016;0.00723276;0.00802739;0.00721654;0.00824361666667;0.00905446666667;0.003632588;0.009135545;0.00831697857143;1
E00013;12;3;2;8;4;A00075;1;0.00843281333333;0.00322022308995;0.00265958001837;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1
E000130;18;5;3;11;9;A00079;2;0.007167892;0.00393840231534;0.00467588756389;0.00379476649687;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1
E000131;78;65;8;31;8;A00022;2;0.00797624461538;0.00723276006368;0.00489751910791;0.00778413657099;0.00565276571017;0.00654083697332;0.007013831113;0.00591918717449;0.0086760687797;0.007038158;0.00775710833333;0.007108435;0.00694626166667;0.00773008;0.003437994;0.00824361666667;0.00699645571429;0
E000132;39;31;6;7;1;A0004;1;0.00849559290323;0.00834014612649;0.00937880335065;0.00737871268454;0.00597324354264;0.00725129379758;0.00479558396286;0;0;0.006357044;0.00535159333333;0.00540565;0.0;0.00216226;0.0;0.0;0.0;0
E000133;41;20;8;16;14;A00063;4;0.00760575;0.0060929399915;0.00681111915037;0.00515699028037;0.0050921224989;0.00425694952719;0.00629217689857;0.00256227822974;0.00393261059071;0.00042164;0.00202711833333;0.00189197833333;0.0;0.0;0.0;0.0;0.0;0
E000134;60;53;10;7;2;A00076;2;0.0087357345283;0.00681111930559;0.0056110650301;0.00832470133901;0.00662578269839;0.00771463516035;0.00824361667037;0.0083864803559;0.00824747793376;0.007394932;0.00813550166667;0.00581107333333;0.00891932;0.00854091833333;0.0057408;0.00851389333333;0.00831698714286;1
E000135;65;53;12;18;9;A00063;2;0.00818497169811;0.00771926855668;0.0071084300677;0.00671381764114;0.00641727913171;0.00791387204081;0.0072705996378;0.00829767311613;0.00707464484731;0.00697329;0.007676025;0.006270555;0.00781116666667;0.008216585;0.003437994;0.00797333666667;0.00776096714286;0
E000136;69;47;13;40;17;A00022;3;0.0079256012766;0.00794630590826;0.00527050899109;0.00389206809923;0.00402720955511;0.00755709912628;0.00610838481225;0.00707059046254;0.00654083684397;0.006616516;0.00694626166667;0.00521645166667;0.00659489333333;0.00797333166667;0.003405564;0.00856795166667;0.00732079285714;0
E000137;82;56;12;30;14;A0003;3;0.00804476714286;0.00736712903849;0.00697328875374;0.0069732889533;0.00578404574965;0.00660261565021;0.00732079507517;0.00613927415439;0.00556781974673;0.007557098;0.00729762833333;0.004702915;0.00691923166667;0.008162525;0.005481338;0.00778413666667;0.00525892428571;0
E000138;7;6;1;0;0;;0;0.009649095;0.00827064491542;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1
E000139;71;64;7;8;1;A0009;1;0.00844548125;0.00740989909854;0.00898419078439;0.00562187633477;0.00757563260517;0.00750613146062;0.00962205743417;0.011189696379;0;0.007621968;0.00824361333333;0.00543267833333;0.00818956;0.00818955666667;0.003535296;0.00881120833333;0.00789996571429;0
E00014;75;65;11;9;6;A00057;1;0.00863240723077;0.00792313886008;0.00794630590826;0.0068111193832;0.00605432836649;0.00840578616286;0.00873398641124;0.00827064481564;0.00818055066177;0.007654404;0.00851389666667;0.00662192166667;0.00867606833333;0.00862200333333;0.003697468;0.00859498166667;0.00722812571429;0
E000140;30;14;5;12;9;A00059;3;0.00774938857143;0.00639411208353;0.00428590845383;0.0047353496775;0.00781657043844;0.00343258791448;0;0;0;0.001524394;0.000270283333333;0.000270283333333;0.0;0.0;0.0;0.0;0.0;1
E000141;75;55;12;33;14;A00064;2;0.00798758418182;0.00771463516035;0.00737871252932;0.00545970672586;0.00416235074711;0.00745979743078;0.00629758245001;0.00637866727387;0.00743663031608;0.00729763;0.007811165;0.00673003333333;0.00694626166667;0.00832469166667;0.003048788;0.00762196666667;0.00562959857143;0
E000142;28;14;6;14;8;A00080;3;0.00793472;0.00516625713291;0.00564349885099;0.00624352600425;0.00635163905099;0.00194603406514;0.00264876863609;0;0;0.001394658;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
E000143;12;11;2;0;0;;0;0.01012822;0.0103464145213;0.00852548277804;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
E000144;12;11;2;0;0;;0;0.00846230090909;0.00869228560477;0.00708912419421;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
E000145;34;30;5;7;0;;0;0.009027434;0.00816253184651;0.00910852057859;0.00785363778206;0.00639411195048;0.00843281450216;0;0;0;0.0;0.0;0.0;0.00764899833333;0.00629757833333;0.00395694;0.008676065;0.00732078857143;1
E000146;13;3;3;9;5;A00078;1;0.00902742666667;0.0;0.00505428299463;0.000810847559478;0;0;0;0;0;0.0;0.0;0.00183791666667;0.0;0.0;0.0;0.0;0.0;1
E000147;53;31;10;23;18;A00061;3;0.00734471064516;0.00410057175239;0.00543267850298;0.00518942414783;0.00629217680544;0.00581107405014;0.00516239598316;0.00343799348921;0.00655164816417;0.007362498;0.005054285;0.00351367166667;0.00221631666667;0.0024866;0.0;0.0;0.0;0
E000148;9;5;2;5;0;;0;0.008303078;0.00605432821127;0.0044866897321;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1
E000149;5;5;1;1;0;;0;0.009924756;0.00992477405816;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.00207576;0.0;0.00148268571429;1
E00015;11;4;2;8;3;A00067;1;0.0083517275;0.004832651373;0.00481102867828;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
E000150;25;12;6;10;9;A00080;2;0.00750033916667;0.00528209254013;0.00620298366994;0.00659489336734;0.00531105132541;0.00608135649236;0.000864904063443;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1
E000151;33;29;5;6;0;;0;0.00913741413793;0.00854092743248;0.0090004078423;0.00813164242676;0.00630144375776;0.00838648022286;0;0;0;0.0;0.0;0.0;0.00759494;0.00656786833333;0.005708366;0.008784185;0.00787680285714;1
E000152;28;10;6;17;12;A00080;3;0.007492231;0.00535159385098;0.00385152589297;0.00437857676297;0.00620298378635;0.00356772914529;0.00255416968139;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1
E000153;75;59;4;17;10;A0003;1;0.00818269033898;0.00710242382182;0.00511992297002;0.00639411208353;0.00908149233354;0;0;0;0;0.006292176;0.00705437666667;0.00662192166667;0.00702734666667;0.00805441666667;0.003275824;0.00845984166667;0.00783046857143;0
E000154;12;0;2;11;5;A00078;1;0;0.00141319145249;0.00162169507239;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1
E000155;17;7;4;4;7;A00080;3;0.00810846714286;0.00544426201044;0.00604081427446;0.00394612457603;0.00664894996832;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
E000156;11;5;2;3;3;A00075;1;0.00833551;0.00528209250686;0.00713545817416;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1
E000157;39;25;8;8;11;A00059;3;0.0079138708;0.00641727906519;0.00460561402142;0.00548132932745;0.00701383105479;0.00773007981479;0.00606513945386;0.00587053606287;0.00729762781411;0.004702918;0.005027255;0.00275688;0.0;0.0;0.0;0.0;0.0;0
E000158;5;2;1;5;0;;0;0.00875715;0.005254292069;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
E000159;33;16;7;18;14;A00061;3;0.007540881875;0.00827064493205;0.00563539040741;0.00194603411946;0.00411910552066;0.00483265132643;0.00651921425015;0.00567593281157;0;0.005675932;0.00108113;0.00475697166667;0.00221631666667;0.00127032833333;0.0;0.0;0.0;1
E00016;68;49;13;25;16;A0004;2;0.0082574055102;0.00486508524045;0.007338170195;0.00673003448173;0.00518942428753;0.00632461082811;0.0047840004554;0.00754088209942;0.00775170251727;0.007135458;0.00732465833333;0.00591918833333;0.00808144833333;0.00862200333333;0.003308258;0.00821659;0.00778413714286;0
E000160;27;24;4;11;0;;0;0.008750395;0.00655164802447;0.00865985173732;0.00854864989274;0.0074111463502;0;0;0;0;0.0;0.00129735666667;0.00329744333333;0.00389207;0.003135275;0.001524394;0.0024866;0.00729762857143;1
E000161;18;7;4;12;9;A00079;3;0.00695012285714;0.0036603974378;0.00434614289552;0.00510833947919;0.00421640730929;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1
E000162;26;23;5;2;0;;0;0.00987118304348;0.00739492960274;0.00960854324512;0.00994639657438;0.00748006848153;0.0107031871254;0;0;0;0.0;0.0;0.00154061;0.003000135;0.005108335;0.006000266;0.00464885;0.00808530714286;1
E000163;24;23;4;0;0;;0;0.00896162478261;0.0082011438374;0.00924366200343;0.00810847532315;0.00891932286322;0;0;0;0;0.006648948;0.00148655333333;0.0;0.0;0.0;0.0;0.0;0.0;0
E000164;11;6;2;2;1;A00080;1;0.00783819333333;0.00620877556503;0.00559484807309;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1
E000165;23;18;4;8;4;A000112;1;0.00779314611111;0.00862201210111;0.00579176816557;0.00600027181208;0.00797873986885;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
E000166;27;9;5;19;11;A00058;3;0.00749583555556;0.00644044611337;0.00543267846418;0.00295959360665;0.00139465776738;0.00181629848666;0;0;0;0.000454074;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1
E000167;49;34;9;32;11;A00021;2;0.00796061676471;0.00702734539906;0.00707059055567;0.00701383117121;0.00832470141662;0.00595393750284;0.00593077065423;0.00794630602468;0.00502725470869;0.0;0.003648815;0.00389206833333;0.00724357333333;0.007270605;0.001718996;0.00775710833333;0.00739029857143;1
E000168;28;11;6;20;11;A00079;4;0.00771041909091;0.00477241688142;0.00628406845499;0.00235145789338;0.00308122071438;0.00254065558935;0.00470291581005;0;0;0.001297356;0.0;0.0017298;0.0;0.0;0.0;0.0;0.0;0
E000169;20;5;4;13;9;A00080;3;0.008335516;0.0037993998932;0.00445966160623;0.00640569557436;0.00191360018216;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
E00017;11;3;2;9;3;A00070;1;0.00794630333333;0.00544889555313;0.00327041838318;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
E000170;20;10;4;9;5;A00079;2;0.007800352;0.00511992310307;0.00774359388743;0.00480021741241;0.00445966148982;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
E000171;71;54;12;21;12;A0005;2;0.00797033092593;0.00756791016708;0.0054326786194;0.00600027171895;0.00602730010481;0.00678409116032;0.00716789225116;0.00701962298314;0.0079260346829;0.007167892;0.00743277;0.00510834;0.00721654333333;0.00762195833333;0.007719274;0.00824361333333;0.00715862285714;0
E000172;31;13;6;18;11;A00059;3;0.00777165846154;0.00595393776894;0.00596783794463;0.00317852231674;0.00624352606246;0.00457318015397;0.00152439335361;0;0;0.0;0.000513536666667;0.0;0.0;0.0;0.0;0.0;0.0;1
E000173;59;52;9;22;3;A0005;1;0.00806169634615;0.00789224946251;0.00622730911709;0.00729762786068;0.00769146811217;0.00727059971541;0.00755246562351;0.00677057699068;0.00745979736426;0.007038158;0.00800036166667;0.00524347833333;0.00724357;0.008189565;0.005059688;0.00808145;0.00711229142857;1
E000174;29;19;7;8;6;A00059;3;0.00829624736842;0.0076219669011;0.00710843014531;0.00713545829058;0.00555430568056;0.00421640713466;0.00513536754685;0.00443263305351;0;0.004735348;0.00108113;0.0;0.0;0.0;0.0;0.0;0.0;0
E000175;57;52;9;6;0;;0;0.00891932;0.00805441879978;0.00786522108441;0.00924366209656;0.00660261558369;0.00882665467049;0.00921663378055;0.00706595714603;0.00836331330772;0.007719274;0.00773008166667;0.00600026166667;0.00845984166667;0.00859499;0.00415152;0.00897337;0.00854864428571;1
E000176;24;22;1;4;0;;0;0.00768093909091;0.00717600077041;0;0;0;0;0;0;0;0.004475878;0.002405515;0.00127032833333;0.001162215;0.00121627166667;0.001783864;0.002567685;0.00118152;1
E000177;57;28;14;35;24;A0007;4;0.00747717428571;0.00755709912628;0.00613000737503;0.00514888192993;0.0044866897321;0.00723275998607;0.00540565028011;0.00376233253628;0.00216226015861;0.006940856;0.00710843166667;0.004892115;0.004729945;0.00370287;0.0;0.0;0.0;0
E000178;4;1;1;3;0;;0;0.0113519;0.00563539040741;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1
E000179;47;28;8;18;15;A00064;3;0.00747717142857;0.00588443649134;0.00528672607616;0.00632461085916;0.00463804793544;0.00462183100171;0.00562959869525;0.00671381773427;0.00597710468407;0.00531916;0.00483805833333;0.00440559666667;0.0;0.0012433;0.0;0.0;0.0;0
E00018;7;6;1;1;0;;0;0.00970314;0.00831697907831;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.001324385;0.00143635714286;1
E000180;16;2;3;10;8;A00079;2;0.00762197;0.00291905109771;0.00347042749636;0.00295959351934;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1
E000181;71;56;11;35;11;A00063;2;0.00784494910714;0.00797873977572;0.00681111946081;0.00656786506685;0.00685745351283;0.00729762793829;0.00602343898;0.00783819278392;0.00713545829058;0.007557102;0.00697328833333;0.00489211333333;0.00689220333333;0.00754088333333;0.00356773;0.00802739166667;0.00676478428571;1
E000182;12;4;3;8;4;A00075;1;0.007865225;0.0064867803206;0.00515699039679;0.00344610208413;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1
E000183;22;11;4;10;7;A00079;2;0.00763671272727;0.00620877549851;0.00593077062097;0.00486508524045;0.00381098338403;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1
E000184;18;6;5;11;9;A00080;4;0.008540935;0.00553693030296;0.00417586480035;0.00216226015861;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
E000185;8;2;2;2;0;;0;0.009162575;0.00537476096568;0.00891932286322;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1
E000186;10;3;2;7;3;A00067;1;0.00902743333333;0.00463804793544;0.00220550538506;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
E000187;11;4;2;5;2;A00070;1;0.00932475;0.00609757341444;0.00610838473464;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
E000188;36;26;6;9;8;A00057;2;0.00820827115385;0.00702193980105;0.00835172971711;0.00677057693247;0.00606977291006;0.00567593285814;0.00810847533867;0;0;0.00483265;0.00502725;0.0012433;0.0;0.0;0.001783864;0.0;0.0;0
E000189;76;50;14;27;20;A00063;3;0.0081117204;0.008054418955;0.00381098350044;0.00619487520307;0.00267579689777;0.0057299893427;0.00525429202244;0.00656786514446;0.00673003455934;0.007524668;0.00789224833333;0.00494617;0.00743277;0.00670300666667;0.003729902;0.00829767166667;0.00718179285714;0
E00019;41;21;4;21;12;A00063;4;0.00737485238095;0.00563119634874;0.0033731257543;0.00616244133562;0.00145952554885;0;0;0;0;0.002464976;0.00110815833333;0.00164872333333;0.0;0.0;0.0;0.0;0.0;0
E000190;16;6;3;9;6;A00079;2;0.00778413666667;0.0038225670079;0.00505968863145;0.00510833959561;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1
E000191;17;6;3;10;7;A00079;3;0.00740574166667;0.0;0.00414269383658;0.00609757346101;0;0;0;0;0;0.0;0.0;0.00062165;0.0;0.0;0.0;0.0;0.0;1
E000192;49;45;8;8;1;A00052;1;0.00939141755556;0.00845984260862;0.00887298876686;0.00917416065931;0.00912782649643;0.00774359412026;0.00806214141526;0.008351729688;0.0104869616528;0.002854184;0.008730125;0.00756790833333;0.00829767333333;0.00981125666667;0.00398936;0.00851390166667;0.00861814428571;1
E000193;38;34;6;16;0;;0;0.00854252;0.00707059046254;0.00683428646464;0.00757563287126;0.00654759374447;0.00856795550014;0.0100869433954;0;0;0.001362224;0.00264876833333;0.0;0.00732465666667;0.00808144666667;0.005578634;0.00843281333333;0.00729763428571;1
E000194;40;34;6;5;5;A00058;1;0.00829926205882;0.00755246562351;0.00783819278392;0.00572226702103;0.00670300625886;0.00718179251999;0.00878032050761;0;0;0.007849004;0.00894635166667;0.005892155;0.0;0.00291905;0.0;0.0;0.0;0
E000195;37;32;6;5;4;A00058;1;0.0087723559375;0.00706595727908;0.0072435712597;0.00708140192243;0.00705437362194;0.00935177505016;0.00962205743417;0;0;0.008335514;0.00991936;0.00494616666667;0.0;0.00170278333333;0.0;0.0;0.0;0
