"","Estudiante","c_enrrolado","c_aprobados","sem_cursados","c_bajo_media","c_repetidos","c_mas_repetido","veces_c_mas_repetidos","PGA","PSP_RE_1","PSP_RE_2","PSP_RE_3","PSP_RE_4","PSP_RE_5","PSP_RE_6","PSP_RE_7","PSP_RE_8","PSP_ABS_1","PSP_ABS_2","PSP_ABS_3","PSP_ABS_4","PSP_ABS_5","PSP_ABS_6","PSP_ABS_7","PSP_ABS_8","aristas","densidad","diametro","long.med.cam","grado_medio","modularidad","Dropout"
"1","E0001",70,40,12,45,25,"A0007",4,0.00781656875,0.00580566832796,0.00288661732338,0.00486508524045,0.00484191819227,0.00650994739096,0.00129735609517,0.00397315292503,0.00602729994959,0.007265196,0.00767602166667,0.00497319833333,0.007054375,0.00778413666667,0.00726518,0.007784135,0.00681112142857,88,0.02,8,3.34,2.93,0.72,0
"2","E00010",52,31,7,19,9,"A0004",3,0.0077056683871,0.00666696866716,0.00402180384845,0.00548132937402,0.00532842673627,0.00726519394666,0.0061894695973,0.00278390994451,0,0.00739493,0.00751385833333,0.00470291666667,0.003054195,0.001783865,0,0,0,31,0.01,4,1.96,1.03,0.79,0
"3","E000105",6,2,2,5,0,"",0,0.00786522,0.00689220405184,0.00518942426424,0,0,0,0,0,0,0.001783864,0.00078382,0,0,0.000837875,0,0.00113518666667,0.000602344285714,0,0,0,0,0,0,1
"4","E000106",71,42,14,27,25,"A0004",3,0.00774938690476,0.00683428639812,0.00651380846587,0.00640569557436,0.00498671235982,0.00496238679625,0.00574080068618,0.00648678038269,0.00613000746816,0.007232762,0.00645975333333,0.00505428333333,0.00748682666667,0.00491914166667,0,0.00378395666667,0,52,0.01,4,2.02,1.73,0.81,0
"5","E000109",35,13,8,19,19,"A00064",4,0.00724773,0.00616244133562,0.0048110287947,0.00311365458183,0.0038920682855,0.0044110105373,0.00368935635197,0.00429749197792,0.00644623802509,0.00606514,0.001162215,0.00221631666667,0,0,0,0,0,19,0.01,2,1.33,0.63,0.81,1
"6","E000111",65,48,11,25,14,"A0004",3,0.00835511125,0.00681111915037,0.00774359412026,0.00616244124249,0.00486508528702,0.00710302451625,0.00600027184313,0.00454074625547,0.0077841366486,0.007459798,0.00570296166667,0.00637866666667,0.00818956,0.00754088166667,0.002951486,0.00845984,0.00776097,62,0.02,8,2.73,2.07,0.74,1
"7","E000114",86,64,14,26,17,"A00063",3,0.00830865328125,0.00803897410099,0.00827064489325,0.00545970676467,0.00538402758539,0.00462183100171,0.00766250910237,0.00518942435738,0.00541646154597,0.007654402,0.00702734666667,0.00648678166667,0.00748682666667,0.008108475,0.004508312,0.00840577833333,0.00783047142857,61,0.02,8,2.91,2.03,0.78,0
"8","E000115",61,34,12,21,24,"A00063",5,0.00765058441176,0.00556009741766,0.00656786491163,0.00835172971711,0.00466237345245,0.00710302451625,0.00291905119084,0.0050921224989,0.00442491084271,0.00697329,0.00689220166667,0.00572998666667,0.00140546833333,0.001919005,0,0.00275688,0,26,0.01,2,1.27,0.87,0.82,0
"9","E000117",31,17,4,12,7,"A00059",1,0.00765058764706,0.00613749209935,0.0064867803206,0.00467588752508,0.00597324354264,0,0,0,0,0.001232488,0.00110815833333,0,0,0,0,0,0,9,0,1,1,0.3,0.79,0
"10","E000120",30,18,6,7,8,"A00059",2,0.00756791388889,0.00604660596166,0.00678409112152,0.00606513954699,0.00677868556231,0.00522996659856,0.0055678198114,0,0,0.003437994,0.00113518666667,0,0,0.00140546833333,0,0,0,9,0,1,1,0.3,0.72,1
"11","E000122",61,49,11,13,8,"A0003",2,0.00849569571429,0.00470291578677,0.00774359423667,0.00642191246152,0.00700572272763,0.00674625150859,0.00671381754801,0.0085544413887,0.00862201210111,0.00707059,0.00727060166667,0.00537862333333,0.00805442166667,0.00810847333333,0.00334069,0.00862200833333,0.00854864,56,0.02,11,3.27,1.87,0.77,1
"12","E000123",64,49,13,21,12,"A0004",2,0.00845929142857,0.00405423777799,0.00729762786068,0.00661651594564,0.0081490179291,0.00673003459815,0.00642191255465,0.0074922314845,0.00834014612649,0.007654402,0.00740574333333,0.00613541333333,0.00816253166667,0.00827064333333,0.003470426,0.00802739166667,0.00829380714286,65,0.02,11,3.27,2.17,0.76,0
"13","E000125",27,14,7,14,10,"A00058",4,0.00769146928571,0.005870536156,0.00794630590826,0.00393261061981,0.00506779723219,0.00483265132643,0.00368935635197,0.00470291567035,0,0.001297356,0,0.00148655333333,0,0,0,0,0,12,0,0,0,0.4,0.62,1
"14","E000126",36,25,6,10,5,"A0003",2,0.0081409096,0.00732079494212,0.00886526657268,0.00781116456104,0.00497319820958,0.00402720939989,0.00347042740323,0,0,0.007070592,0.00167575333333,0.00154061166667,0,0,0,0,0,13,0,2,1.33,0.43,0.73,0
"15","E000127",57,37,8,37,18,"A00033",3,0.00820051675676,0.00710302451625,0.00492995306849,0.00635704472661,0.00602343891348,0.00410057176902,0.00287271700134,0.00871661101701,0.00824569570474,0.001297356,0.00256768333333,0.00435155166667,0.00475697166667,0.00548673333333,0.0020109,0.00724357,0.00741346142857,49,0.01,5,1.98,1.63,0.71,1
"16","E000129",60,55,9,5,2,"A0005",1,0.00883086545455,0.00817334325984,0.00600027176552,0.00759879971987,0.00783047053431,0.00852548277804,0.00973017048091,0.00707464490552,0.00863552629016,0.00723276,0.00802739,0.00721654,0.00824361666667,0.00905446666667,0.003632588,0.009135545,0.00831697857143,47,0.01,11,3.18,1.57,0.78,1
"17","E000131",78,65,8,31,8,"A00022",2,0.00797624461538,0.00723276006368,0.00489751910791,0.00778413657099,0.00565276571017,0.00654083697332,0.007013831113,0.00591918717449,0.0086760687797,0.007038158,0.00775710833333,0.007108435,0.00694626166667,0.00773008,0.003437994,0.00824361666667,0.00699645571429,60,0.02,11,3.97,2,0.8,0
"18","E000132",39,31,6,7,1,"A0004",1,0.00849559290323,0.00834014612649,0.00937880335065,0.00737871268454,0.00597324354264,0.00725129379758,0.00479558396286,0,0,0.006357044,0.00535159333333,0.00540565,0,0.00216226,0,0,0,12,0,2,1.33,0.4,0.72,0
"19","E000133",41,20,8,16,14,"A00063",4,0.00760575,0.0060929399915,0.00681111915037,0.00515699028037,0.0050921224989,0.00425694952719,0.00629217689857,0.00256227822974,0.00393261059071,0.00042164,0.00202711833333,0.00189197833333,0,0,0,0,0,9,0,1,1,0.3,0.69,0
"20","E000134",60,53,10,7,2,"A00076",2,0.0087357345283,0.00681111930559,0.0056110650301,0.00832470133901,0.00662578269839,0.00771463516035,0.00824361667037,0.0083864803559,0.00824747793376,0.007394932,0.00813550166667,0.00581107333333,0.00891932,0.00854091833333,0.0057408,0.00851389333333,0.00831698714286,44,0.01,10,3.32,1.47,0.74,1
"21","E000135",65,53,12,18,9,"A00063",2,0.00818497169811,0.00771926855668,0.0071084300677,0.00671381764114,0.00641727913171,0.00791387204081,0.0072705996378,0.00829767311613,0.00707464484731,0.00697329,0.007676025,0.006270555,0.00781116666667,0.008216585,0.003437994,0.00797333666667,0.00776096714286,55,0.02,10,3.03,1.83,0.74,0
"22","E000136",69,47,13,40,17,"A00022",3,0.0079256012766,0.00794630590826,0.00527050899109,0.00389206809923,0.00402720955511,0.00755709912628,0.00610838481225,0.00707059046254,0.00654083684397,0.006616516,0.00694626166667,0.00521645166667,0.00659489333333,0.00797333166667,0.003405564,0.00856795166667,0.00732079285714,71,0.02,10,3.03,2.37,0.76,0
"23","E000137",82,56,12,30,14,"A0003",3,0.00804476714286,0.00736712903849,0.00697328875374,0.0069732889533,0.00578404574965,0.00660261565021,0.00732079507517,0.00613927415439,0.00556781974673,0.007557098,0.00729762833333,0.004702915,0.00691923166667,0.008162525,0.005481338,0.00778413666667,0.00525892428571,59,0.02,9,3.23,1.97,0.67,0
"24","E000139",71,64,7,8,1,"A0009",1,0.00844548125,0.00740989909854,0.00898419078439,0.00562187633477,0.00757563260517,0.00750613146062,0.00962205743417,0.011189696379,0,0.007621968,0.00824361333333,0.00543267833333,0.00818956,0.00818955666667,0.003535296,0.00881120833333,0.00789996571429,51,0.01,11,3.35,1.7,0.76,0
